Air,0,minecraft:air,Non-Solid Block
Stone,1,minecraft:stone,Solid Block
Granite,1:1,,Solid Block
Polished Granite,1:2,,Solid Block
Diorite,1:3,,Solid Block
Polished Diorite,1:4,,Solid Block
Andesite,1:5,,Solid Block
Polished Andesite,1:6,,Solid Block
Grass,2,minecraft:grass,Solid Block
Dirt,3,minecraft:dirt,Solid Block
Dirt (No Grass),3:1,,Solid Block
Podzol,3:2,,Solid Block
Cobblestone,4,minecraft:cobblestone,Solid Block
Wooden Plank (Oak),5,minecraft:planks,Solid Block
Wooden Plank (Spruce),5:1,,Solid Block
Wooden Plank (Birch),5:2,,Solid Block
Wooden Plank (Jungle),5:3,,Solid Block
Wooden Plank (Acacia),5:4,,Solid Block
Wooden Plank (Dark Oak),5:5,,Solid Block
Sapling (Oak),6,minecraft:sapling,Plant
Sapling (Spruce),6:1,,Plant
Sapling (Birch),6:2,,Plant
Sapling (Jungle),6:3,,Plant
Sapling (Acacia),6:4,,Plant
Sapling (Dark Oak),6:5,,Plant
Bedrock,7,minecraft:bedrock,Solid Block
Water,8,minecraft:flowing_water,Fluid
Water (No Spread),9,minecraft:water,Fluid
Lava,10,minecraft:flowing_lava,Fluid
Lava (No Spread),11,minecraft:lava,Fluid
Sand,12,minecraft:sand,Solid Block
Red Sand,12:1,,Solid Block
Gravel,13,minecraft:gravel,Solid Block
Gold Ore,14,minecraft:gold_ore,Solid Block
Iron Ore,15,minecraft:iron_ore,Solid Block
Coal Ore,16,minecraft:coal_ore,Solid Block
Wood (Oak),17,minecraft:log,Solid Block
Wood (Spruce),17:1,,Solid Block
Wood (Birch),17:2,,Solid Block
Wood (Jungle),17:3,,Solid Block
Wood (Oak 4),17:4,,Solid Block
Wood (Oak 5),17:5,,Solid Block
Leaves (Oak),18,minecraft:leaves,Solid Block
Leaves (Spruce),18:1,,Solid Block
Leaves (Birch),18:2,,Solid Block
Leaves (Jungle),18:3,,Solid Block
Sponge,19,minecraft:sponge,Solid Block
Wet Sponge,19:1,minecraft:sponge,Solid Block
Glass,20,minecraft:glass,Solid Block
Lapis Lazuli Ore,21,minecraft:lapis_ore,Solid Block
Lapis Lazuli Block,22,minecraft:lapis_block,Solid Block
Dispenser,23,minecraft:dispenser,Block
Sandstone,24,minecraft:sandstone,Solid Block
Sandstone (Chiseled),24:1,,Solid Block
Sandstone (Smooth),24:2,,Solid Block
Note Block,25,minecraft:noteblock,Solid Block
Bed (Block),26,minecraft:bed,Solid Block
